Appointment Datetime,Appointment Datetime,
Appointment Details,Appointment詳細,
Appointment Duration (mins),Appointment Duration (mins),
Appointment End Datetime,Appointment End Datetime,
Appointment For,Appointment For,
Appointment Notes,Appointment Notes,
Appointment Reminder,Appointment Reminder,
Appointment Status,Appointment Status,
Appointment Type,Appointment種類,
Appointment Type Service Item,Appointment Type Service Item,
Appointment Type Service Items,Appointment Type Service Items,
Appointment date and Healthcare Practitioner are Mandatory,Appointment date and Healthcare Practitioner are Mandatory,
Appointment end must be after start.,Appointment end must be after start.,
Appointment for service units with Inpatient Occupancy can only be created against the unit where patient is admitted.,Appointment for service units with Inpatient Occupancy can only be created against the unit where patient is admitted.,
Appointment {0} and Sales Invoice {1} cancelled,Appointment {0} and Sales Invoice {1} cancelled,
Appointments,Appointments,
Approve,Approve,
Approved,Approved,
"Approved / Rejected / Paid Amount connot be more than Claim Amount, please update row #{}","Approved / Rejected / Paid Amount connot be more than Claim Amount, please update row #{}",
Approved Amount,Approved Amount,
Approved Date,Approved Date,
Are you sure you want to authorise Observation <b></b>,Are you sure you want to authorise Observation <b></b>,
Are you sure you want to cancel this appointment?,Are you sure you want to cancel this appointment?,
Are you sure you want to mark selected samples as Collected,Are you sure you want to mark selected samples as Collected,
Assessment Datetime,Assessment Datetime,
Assessment Description,Assessment Description,
Assessment Name,Assessment名,
Assessment Parameter,Assessment Parameter,
Assessment Parameters,Assessment Parameters,
Assessment Scale,Assessment Scale,
Assessment Sheet,Assessment Sheet,
Assessment Template,Assessmentテンプレート,
"Assessment tool/survey instrument observations (e.g., Apgar Scores, Montreal Cognitive Assessment (MoCA)).","Assessment tool/survey instrument observations (e.g., Apgar Scores, Montreal Cognitive Assessment (MoCA)).",
Assigned To,Assigned To,
Assistance Level,Assistance Level,
Attach,Attach,
Attach Medical Record,Attach Medical Record,
Attach Result,Attach Result,
Authorization,認可,
Auto Name,自動名,
Automatic,自動,
Automatically Generate Billable,Automatically Generate Billable,
Available,Available,
Available Qty,Available Qty,
Available slots,Available slots,
Average Score,Average Score,
Avoid Confirmation,Avoid Confirmation,
B Negative,B Negative,
B Positive,B Positive,
BMI,BMI,
Barcode,Barcode,
Base URL,Base URL,
Based on Condition and Formula,Based on Condition and Formula,
Based on Consumption,Based on Consumption,
Basic Details,基本詳細,
Batch,Batch,
Billables,Billables,
Billing,請求,
Billing & Accounts,Billing & Accounts,
Billing Currency,Billing Currency,
Billing Item,Billing Item,
Billing Status,Billing Status,
Billing Summary,Billing Summary,
Billing Type,請求種類,
Billing and Insurance,Billing and Insurance,
Birth Date,Birth Date,
Bloated,Bloated,
Blood Group,Blood Group,
Blood Pressure,Blood Pressure,
Blood Pressure (diastolic),Blood Pressure (diastolic),
Blood Pressure (systolic),Blood Pressure (systolic),
Body Part,Body Part,
Body Part Link,Body Part Link,
Body Parts,Body Parts,
Body Temperature,Body Temperature,
Bold,Bold,
Book,Book,
Boolean,Boolean,
Boolean Value,Boolean Value,
Both,Both,
Bottom,下部,
Brand,ブランド,
Break,Break,
Browse Medication,Browse Medication,
Cancel,キャンセル,
Cancel Admission,Cancel Admission,
Cancelled,Cancelled,
"Cannot Cancel, Insurance Claim already Completed / Partly Paid","Cannot Cancel, Insurance Claim already Completed / Partly Paid",
"Cannot link existing Item Code {}, UOM {} does not match with Item Stock UOM","Cannot link existing Item Code {}, UOM {} does not match with Item Stock UOM",
Canonical Mapping,Canonical Mapping,
Captured,Captured,
Category,カテゴリ,
Center,中央,
Change In Item,Change In Item,
Change Item Code,Change Item Code,
Change Template Code,Change Template Code,
Change in Item,Change in Item,
Charge,Charge,
Charges,Charges,
Check Availability,Check Availability,
Check In,Check In,
Check Out,Check Out,
Check this if the Clinical Procedure is billable and also set the rate.,Check this if the Clinical Procedure is billable and also set the rate.,
Check this if the Clinical Procedure utilises consumables. Click <a href='https://frappehealth.com/docs/v13/user/manual/en/healthcare/clinical_procedure_template#22-manage-procedure-consumables' target='_blank'>here</a> to know more,Check this if the Clinical Procedure utilises consumables. Click <a href='https://frappehealth.com/docs/v13/user/manual/en/healthcare/clinical_procedure_template#22-manage-procedure-consumables' target='_blank'>here</a> to know more,
Check this if you want the Name and Designation of the Employee associated with the User who submits the document to be printed in the Lab Test Report.,Check this if you want the Name and Designation of the Employee associated with the User who submits the document to be printed in the Lab Test Report.,
Check-in time cannot be greater than the current time,Check-in time cannot be greater than the current time,
Checked In,Checked In,
Checked Out,Checked Out,
Checking this option will prompt for Appointment invoicing and payment,Checking this option will prompt for Appointment invoicing and payment,
Checking this will create Lab Test(s) specified in the Sales Invoice on submission.,Checking this will create Lab Test(s) specified in the Sales Invoice on submission.,
Checking this will create a Sample Collection document  every time you create a Lab Test,Checking this will create a Sample Collection document  every time you create a Lab Test,
Checking this will create new Patients with a Disabled status by default and will only be enabled after invoicing the Registration Fee.,Checking this will create new Patients with a Disabled status by default and will only be enabled after invoicing the Registration Fee.,
Checking this will popup to invoice appointment,Checking this will popup to invoice appointment,
Checking this will restrict printing and emailing of Lab Test documents unless they have the status as Approved.,Checking this will restrict printing and emailing of Lab Test documents unless they have the status as Approved.,
Checklist,Checklist,
Chief Complaint,Chief Complaint,
Child nodes can be only created under 'Group' type nodes,Child nodes can be only created under 'Group' type nodes,
Circular reference detected: '{0}' is already a component (directly or indirectly) of '{1}',Circular reference detected: '{0}' is already a component (directly or indirectly) of '{1}',
City,City,
Claim Amount,Claim Amount,
Claim Coverage %,Claim Coverage %,
Claim Details,Claim詳細,
Claim Error / Reject Reason,Claim Error / Reject Reason,
Claim Mode of Approval,Claim Mode of Approval,
Claim Status,Claim Status,
Claim Validity End Date,Claim Validity End Date,
Claim already created for all Inpatient Occupancies,Claim already created for all Inpatient Occupancies,
Claims,Claims,
Claims Receivable Account,Claims Receivable Account,
Claims Receivable Account is mandatory for Company {},Claims Receivable Account is mandatory for Company {},
Client ID,Client ID,
Client Secret,Client Secret,
Clinical Note,Clinical Note,
Clinical Note Type,Clinical Note種類,
Clinical Procedure,臨床処置,
Clinical Procedure ({0}):,Clinical Procedure ({0}):,
Clinical Procedure Consumable Item,Clinical Procedure Consumable Item,
Clinical Procedure Item,Clinical Procedure Item,
Clinical Procedure Rate,Clinical Procedure Rate,
Clinical Procedure Template,Clinical Procedureテンプレート,
Clinical Procedure is already created,Clinical Procedure is already created,
Clinical Procedure {0} already created from service request {1},Clinical Procedure {0} already created from service request {1},
"Clinical observations measure the body's basic functions such as blood pressure, heart rate, respiratory rate, height, weight, body mass index, head circumference, pulse oximetry, temperature, and body surface area.","Clinical observations measure the body's basic functions such as blood pressure, heart rate, respiratory rate, height, weight, body mass index, head circumference, pulse oximetry, temperature, and body surface area.",
Close,Close,
Closed,Closed,
Coated,Coated,
Code,Code,
Code Description,Code Description,
Code System,Code System,
Code Value,Code Value,
Code Value Description,Code Value Description,
Code Value Set,Code Value Set,
Codes indicating the degree of authority/intentionality associated with a request.,Codes indicating the degree of authority/intentionality associated with a request.,
Codes providing the status of an observation.,Codes providing the status of an observation.,
Codification Table,Codification Table,
Collect Fee for Patient Registration,Collect Fee for Patient Registration,
Collect Payment on Portal,Collect Payment on Portal,
Collect Registration Fee,Collect Registration Fee,
Collected,Collected,
Collected By,Collected By,
Collected On,Collected On,
Collected User,Collected User,
Collection Date Time,Collection Date Time,
Collection Details,Collection詳細,
Collection Details:,Collection Details:,
Collection Point,Collection Point,
Colony Population,Colony Population,
Colony UOM,Colony UOM,
Color,色,
Combinations,Combinations,
Comment,コメント,
Comments,Comments,
Company,会社,
Company and Insurance Provider are mandatory,Company and Insurance Provider are mandatory,
Complaint,Complaint,
Complaints,Complaints,
Complete,完了,
Complete and Consume,Complete and Consume,
Complete {0} and Consume Stock?,Complete {0} and Consume Stock?,
Complete {0}?,Complete {0}?,
Completed,完了,
Completed Orders,Completed Orders,
Completed Sessions,Completed Sessions,
Component Observation Parent,Component Observation Parent,
Component Observations,Component Observations,
Components,Components,
Compound,Compound,
Compound Test Result,Compound Test Result,
Condition,条件,
Conditions,条件,
Configure a service Item for {0},Configure a service Item for {0},
Confirm,確認,
Confirm to Schedule Admission,Confirm to Schedule Admission,
Confirmation Message,Confirmation Message,
Confirmed,Confirmed,
Connections,接続,
Consent Management,Consent Management,
Consent Required,Consent Required,
Constipated,Constipated,
Consulting Charges: {0},Consulting Charges: {0},
Consumable Total Amount,Consumable Total Amount,
Consumables,Consumables,
Consume Stock,Consume Stock,
Consumption Details,Consumption詳細,
Consumption Invoiced,Consumption Invoiced,
Contact & Address,Contact & Address,
Contact HTML,Contact HTML,
Container Closure Color,Container Closure Color,
Contract Details,Contract詳細,
Conversion Factor,Conversion Factor,
Conversion Factor is mandatory,Conversion Factorは必須です,
Corrected,Corrected,
"Could not add conferencing to this Appointment, please contact System Manager","Could not add conferencing to this Appointment, please contact System Manager",
Could not create Service Units,Could not create Service Units,
Country,Country,
Counts Completed,Counts Completed,
Counts Completed: {0},Counts Completed: {0},
Counts Target,Counts Target,
Counts Targeted: {0},Counts Targeted: {0},
Coverage,Coverage,
Coverage %,Coverage %,
Coverage Amount,Coverage Amount,
Coverage Percentage,Coverage Percentage,
Coverage Status,Coverage Status,
Create,作成,
Create ABHA,Create ABHA,
Create Coverage,Create Coverage,
Create Insurance Coverage,Create Insurance Coverage,
Create Lab Test(s) on Sales Invoice Submission,Create Lab Test(s) on Sales Invoice Submission,
Create Medication Request,Create Medication Request,
Create Multiple,Create Multiple,
Create Nursing Tasks,Create Nursing Tasks,
Create Observation(s) on Sales Invoice Submission,Create Observation(s) on Sales Invoice Submission,
Create Payment Entry,Create Payment Entry,
Create Sample Collection document for Lab Test,Create Sample Collection document for Lab Test,
Create Service Request,Create Service Request,
Create Slots,Create Slots,
Create Treatment Counselling,Create Treatment Counselling,
Create and link a service item to be billed for Out Patient Consulting.,Create and link a service item to be billed for Out Patient Consulting.,
Create and link the document to complete this task,Create and link the document to complete this task,
Create/Link Code,Create/Link Code,
Create/Link Item,Create/Link Item,
Creating Insurance Coverage,Creating Insurance Coverage,
Creating Lab Tests...,Creating Lab Tests...,
Creating Observations! Please Wait...,Creating Observations! Please Wait...,
Creating Treatment Counselling,Creating Treatment Counselling,
Creating {0} Service Units,Creating {0} Service Units,
Critical,Critical,
Critical Condition,Critical Condition,
Critical From,Critical From,
Critical Interpretation,Critical Interpretation,
Critical Long Interpretation,Critical Long Interpretation,
Critical Options,Critical Options,
Critical Ratio,Critical Ratio,
Critical To,Critical To,
Critical Value,Critical Value,
Currency,Currency,
Current Issues,Current Issues,
Custom,カスタム,
Custom Document Types,Custom Document Types,
Custom Result,Custom Result,
Custom Signature in Print,Custom Signature in Print,
Customer,顧客,
Customer Details,顧客詳細,
Customer Group,Customer Group,
Customer Not Found,Customer Not Found,
Customer {0} created and linked to Patient,Customer {0} created and linked to Patient,
Customer {0} has been linked to Patient,Customer {0} has been linked to Patient,
Customer {0} is created.,Customer {0} is created.,
Customer {0} updated,Customer {0} updated,
Cuts,Cuts,
DIA-RPT-.YYYY.-,DIA-RPT-.YYYY.-,
Daily,日次,
Dashboard,ダッシュボード,
Date,日付,
Date Fieldname,Date Fieldname,
Date Range,Date Range,
Date Time,Date Time,
Date of Birth,Date of Birth,
Date of birth,Date of birth,
DateTime,DateTime,
Datetime,Datetime,
Day,日,
Day(s),Day(s),
Days,日,
Default,デフォルト,
Default Accounts,Default Accounts,
Default Appointment Type,Default Appointment種類,
Default Code System,Default Code System,
Default Code System to be used when creating Insurance Claim,Default Code System to be used when creating Insurance Claim,
Default Currency,Default Currency,
Default Duration (In Minutes),Default Duration (In Minutes),
Default Google Calendar,Default Google Calendar,
Default Healthcare Service Items,Default Healthcare Service Items,
Default Intent,Default Intent,
Default Interval,Default Interval,
Default Interval UOM,Default Interval UOM,
Default Prescription Dosage,Default Prescription Dosage,
Default Prescription Duration,Default Prescription Duration,
Default Price List,Default Priceリスト,
Default Priority,Default Priority,
Default duration which the task can take to complete,Default duration which the task can take to complete,
Default income accounts to be used if not set in Healthcare Practitioner to book Appointment charges.,Default income accounts to be used if not set in Healthcare Practitioner to book Appointment charges.,
Default receivable accounts to be used to book Appointment charges.,Default receivable accounts to be used to book Appointment charges.,
Defaults,デフォルト,
Definition,Definition,
Denied,Denied,
Department,Department,
Description,説明,
Descriptive,Descriptive,
Descriptive Result,Descriptive Result,
Descriptive Test,Descriptive Test,
Descriptive Test Result,Descriptive Test Result,
Descriptive Test Template,Descriptive Testテンプレート,
Descriptive Toggle,Descriptive Toggle,
Designation,Designation,
Details,詳細,
Diagnosis,診断,
Diagnosis Trends,Diagnosis Trends,
Diagnostic,Diagnostic,
Diagnostic Report,Diagnosticレポート,
"Did not send SMS, missing patient mobile number or message content.","Did not send SMS, missing patient mobile number or message content.",
Diet Adviced,Diet Adviced,
Difficulty Level,Difficulty Level,
Direct,Direct,
Directive,Directive,
Disabled,無効,
Disapproval Reason,Disapproval Reason,
Discharge,Discharge,
Discharge Date,Discharge Date,
Discharge Details,Discharge詳細,
Discharge Instructions,Discharge Instructions,
Discharge Notes,Discharge Notes,
Discharge Nursing Checklist Template,Discharge Nursing Checklistテンプレート,
Discharge Ordered Date,Discharge Ordered Date,
Discharge Scheduled,Discharge Scheduled,
Discharge Summary,Discharge Summary,
Discharged,Discharged,
Discharging Practitioner,Discharging Practitioner,
Discount %,Discount %,
Discount Amount,Discount Amount,
Discount Percentage,Discount Percentage,
Display,表示,
Divorced,Divorced,
Do Not Bill Patient Encounters for Inpatients,Do Not Bill Patient Encounters for Inpatients,
Do not add Video Conferencing,Do not add Video Conferencing,
Do not confirm if appointment is created for the same day,Do not confirm if appointment is created for the same day,
Do not print or email Lab Tests without Approval,Do not print or email Lab Tests without Approval,
DocName,DocName,
DocType,DocType,
Document Type,Document種類,
Documents,Documents,
Done,完了,
Dosage,用量,
Dosage Form,剤形,
Dosage Form:,Dosage Form:,
Dosage Strength,Dosage Strength,
Dosage by Time Interval,Dosage by Time Interval,
Dosage:,Dosage:,
Draft,下書き,
Drug,Drug,
Drug Code,Drug Code,
Drug Name,Drug名,
Drug Name / Description,Drug Name / Description,
Drug Prescription,Drug Prescription,
Due Date,Due Date,
Duplicate,複製,
Duration,期間,
Duration (In Minutes),Duration (In Minutes),
Each slot indicates the capacity currently available for booking,Each slot indicates the capacity currently available for booking,
Edit,編集,
Edit Clinical Note,Edit Clinical Note,
Edit Exercise Step,Edit Exercise Step,
Edit Observation,Edit Observation,
Eligibility Applicable for,Eligibility Applicable for,
Eligibility Details,Eligibility詳細,
Email,メール,
Email Id,Email Id,
Email Sent,Email Sent,
Emergency,Emergency,
Employee,Employee,
Employee (Lab Technician),Employee (Lab Technician),
Employee and User Details,Employee and User詳細,
Employee name and designation in print,Employee name and designation in print,
Enable Free Follow-ups,Enable Free Follow-ups,
Encounter Impression,Encounter Impression,
Encounter Status,Encounter Status,
End Date,End Date,
End Time,End Time,
End time must be after start time.,End time must be after start time.,
Ended,終了済,
Enter a name for the Clinical Procedure Template,Enter a name for the Clinical Procedureテンプレート,
Entered In Error,Entered In Error,
Entered in Error,Entered in Error,
Error,エラー,
Error / Reject Reason,Error / Reject Reason,
Error calculating Coverage for Insurance Coverage {}. Please verify Coverage for Item and then try saving Insurance Coverage again,Error calculating Coverage for Insurance Coverage {}. Please verify Coverage for Item and then try saving Insurance Coverage again,
Error in formula,Error in formula,
"Error while evaluating the {0} {1} at row {2}. <br><br> <b>Error:</b> {3}
			<br><br> <b>Hint:</b> {4}","Error while evaluating the {0} {1} at row {2}. <br><br> <b>Error:</b> {3}
			<br><br> <b>Hint:</b> {4}",
Estimated Duration,Estimated Duration,
Event,イベント,
Exam,Exam,
Exercise,Exercise,
Exercise Difficulty Level,Exercise Difficulty Level,
Exercise Instructions,Exercise Instructions,
Exercise Name,Exercise名,
Exercise Steps,Exercise Steps,
Exercise Type,Exercise種類,
Exercise Type Step,Exercise Type Step,
Exercise Video,Exercise Video,
Exercises,Exercises,
Expected By,Expected By,
Expected Discharge,Expected Discharge,
Expected Length of Stay,Expected Length of Stay,
Expected Result Date,Expected Result Date,
Expected Result Time,Expected Result Time,
Expected and Discharge dates cannot be less than Admission Schedule date,Expected and Discharge dates cannot be less than Admission Schedule date,
Experimental,Experimental,
Expired,期限切れ,
Expiry Date for the Insurance Policy cannot be a past date,Expiry Date for the Insurance Policy cannot be a past date,
External,外部,
External Referral,External Referral,
FHIRVersion,FHIRVersion,
Failed,Failed,
"Failed to fetch health Data, Please try again later","Failed to fetch health Data, Please try again later",
Failure Reason,Failure Reason,
Family,Family,
Father,Father,
Fee Validity,Fee Validity,
Fee Validity Reference,Fee Validity Reference,
Fee Validity {0} updated.,Fee Validity {0} updated.,
Female,女性,
Fetch Patient Coverages,Fetch Patient Coverages,
Fetched existing ABHA of aadhaar provided,Fetched existing ABHA of aadhaar provided,
"Fetched from Practitioner Schedule if ""Create Slots"" is disabled","Fetched from Practitioner Schedule if ""Create Slots"" is disabled",
Fetching Available Slots...,Fetching Available Slots...,
Fetching Coverages,Fetching Coverages,
Fetching Pending Medication Orders,Fetching Pending Medication Orders,
Fetching Template Details,Fetching Template詳細,
Fetching Treatment Plans,Fetching Treatment Plans,
Filler Order,Filler Order,
Filters,フィルター,
Final,最終,
Findings,Findings,
First Name,First名,
Fixed,固定,
Fluid,Fluid,
Follow Up Date,Follow Up Date,
Followup Date,Followup Date,
For Procedure,For Procedure,
For use while scheduling tele-consultations via Google Meet,For use while scheduling tele-consultations via Google Meet,
Formula,数式,
Frappe Support,Frappeサポート,
Free Followup Details,Free Followup詳細,
Friday,金曜日,
From,から,
From Age Type,From Age種類,
From Date,From Date,
From Datetime,From Datetime,
From Duration,From Duration,
From Time,From Time,
Full,Full,
Full Name,Full名,
Furry,Furry,
Gateway Name,Gateway名,
Gender,Gender,
Generate Billables,Generate Billables,
Generating OTP...,Generating OTP...,
Generic Name,Generic名,
Gestational Age,Gestational Age,
Get From Encounter,Get From Encounter,
Get Items From,Get Items From,
Get Items from Healthcare Services,Get Items from Healthcare Services,
Get Items from Prescriptions,Get Items from Prescriptions,
Get Orders,Get Orders,
Get PDF,Get PDF,
Get Pending Medication Orders,Get Pending Medication Orders,
Get Prescribed Clinical Procedures,Get Prescribed Clinical Procedures,
Get Prescribed Therapies,Get Prescribed Therapies,
Get from Patient Encounter,Get from Patient Encounter,
Getting From Encounter,Getting From Encounter,
Goal,Goal,
Google Calendar,Google Calendar,
Google Calendar Required,Google Calendar Required,
Google Meet Link,Google Meet Link,
Granted,Granted,
Group Tests,Group Tests,
Grouped,Grouped,
Grouped Observations,Grouped Observations,
HLC-AC-.YYYY.-,HLC-AC-.YYYY.-,
HLC-APP-.YYYY.-,HLC-APP-.YYYY.-,
HLC-CPR-.YYYY.-,HLC-CPR-.YYYY.-,
HLC-DS-.YYYY.-,HLC-DS-.YYYY.-,
HLC-IME-.YYYY.-,HLC-IME-.YYYY.-,
HLC-IMO-.YYYY.-,HLC-IMO-.YYYY.-,
HLC-INP-.YYYY.-,HLC-INP-.YYYY.-,
HLC-LAB-.YYYY.-,HLC-LAB-.YYYY.-,
HLC-NUR-.YYYY.-,HLC-NUR-.YYYY.-,
HLC-OBS-.YYYY.-,HLC-OBS-.YYYY.-,
HLC-PA-.YYYY.-,HLC-PA-.YYYY.-,
HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-,
HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-,
HLC-PRAC-.YYYY.-,HLC-PRAC-.YYYY.-,
HLC-SC-.YYYY.-,HLC-SC-.YYYY.-,
HLC-THP-.YYYY.-,HLC-THP-.YYYY.-,
HLC-THS-.YYYY.-,HLC-THS-.YYYY.-,
HLC-VTS-.YYYY.-,HLC-VTS-.YYYY.-,
HMR-,HMR-,
HSR-,HSR-,
Has Component,Has Component,
Health ID Service,Health ID Service,
Healthcare,Healthcare,
Healthcare Activity,Healthcare Activity,
Healthcare Administrator,Healthcare Administrator,
Healthcare Insurance Policy,Healthcare Insurance Policy,
Healthcare Payment Record,Healthcare Payment Record,
Healthcare Practitioner,医療従事者,
Healthcare Practitioner (Primary),Healthcare Practitioner (Primary),
Healthcare Practitioner (Secondary),Healthcare Practitioner (Secondary),
Healthcare Practitioner not available on {0},Healthcare Practitioner not available on {0},
